timestamp,consent,age,gender,province,education_level,stream,gpa,current_status,weekly_skill_hours,skills_learning,learning_reason,learning_source,career_clarity,market_awareness,education_support,career_confidence,challenges,challenge_frequency,career_interest,future_vision,system_adequate,biggest_obstacle,advice,age_mid,gpa_mid,skill_hours_mid,challenge_freq_score,skill_AI / Machine Learning,skill_Business / Entrepreneurship,skill_Data Analyst / Data Science,skill_Digital Marketing / SEO,skill_Graphic Design,skill_None yet,skill_Other,skill_Programming / Coding,skill_Public Speaking / Communication,skill_UI/UX Design,skill_Video Editing / Content Creation,reason_Business / Startups,reason_Freelancing,reason_None yet,reason_Other,reason_Personal Interest,reason_Study abroad preparation,reason_To get a job,reason_University requirements,source_College or school,source_Institute or training center,source_Mentor or teacher,source_None yet,source_Other,"source_Paid online courses (Udemy, Coursera, etc.)",source_Self-study from books/articles,source_YouTube / free online videos,chal_Family pressure,chal_Financial problems,chal_Lack of guidance or mentorship,chal_Lack of motivation,chal_Lack of networking,chal_Lack of opportunities in Nepal,chal_Mental stress or anxiety,chal_Other,chal_Poor internet access,chal_Poor quality of education,chal_Time management issues,skill_breadth,readiness_score,readiness_category
2026/06/16 5:46:36 PM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Management,2.81 - 3.2,Waiting for results,0 - 2 hrs,None yet,,,1.0,1.0,1.0,1.0,Lack of guidance or mentorship;Lack of motivation,Frequently,IT / Technology,May be  I will complete bachelor ,No,Lack of practical education;Lack of mentorship and guidance;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Be consistent and patient",20.0,3.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3.333333333333334,Low
2026/06/16 6:31:31 PM GMT+5:45,Yes,16-18,Female,Koshi,Awaiting +2 Results,Science,Not Yet Graded,Working / Freelancing,3-5 hrs,None yet,,,5.0,5.0,5.0,5.0,Financial problems;Lack of opportunities in Nepal;Mental stress or anxiety,Always,Medical / Health,,No,Lack of practical education,Explore career options before choosing a stream,17.0,,4.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,66.875,Medium
2026/06/16 6:58:43 PM GMT+5:45,Yes,22-25,Male,Lumbini,+2 Passed,Management,2.4 - 2.8,Studying Bachelor's,0 - 2 hrs,AI / Machine Learning;Digital Marketing / SEO,Freelancing;Business / Startups;Personal Interest,"YouTube / free online videos;Paid online courses (Udemy, Coursera, etc.)",4.0,4.0,4.0,4.0,Time management issues,Always,Banking / Finance,"In 5 years, I see myself as a tech-driven entrepreneur building businesses that solve real human problems. I aim to master both the AI/technology sector and financial markets, using that expertise to create a fully integrated business system. My goal is to become a top player in my field, not just in Nepal but globally, by developing innovative solutions that make a meaningful impact on people's lives. I envision running a well-structured business ecosystem that combines cutting-edge technology, smart financial strategies, and a strong focus on customer-centric problem solving.",Yes,Lack of practical education;Financial barriers,"Start learning skills early, don't wait;Build a portfolio or personal projects;Focus on English communication;Use free online resources (YouTube, Coursera, etc.);Don't rely only on grades — build real skills;Take care of your mental health;Be consistent and patient",23.5,2.6,1.0,3.0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,50.97222222222223,Medium
2026/06/16 7:51:52 PM GMT+5:45,Yes,19-21,Male,Karnali,SEE Passed,Just SEE Passed,3.21 - 3.6,Learning professional skills;Preparing for 11 and 12,3-5 hrs,UI/UX Design,Freelancing;Personal Interest,YouTube / free online videos;Self-study from books/articles,2.0,3.0,3.0,2.0,Lack of motivation;Lack of networking,Sometimes,IT / Technology,Doing Bachelors ,Maybe,Lack of practical education;Lack of mentorship and guidance,"Start learning skills early, don't wait",20.0,3.4,4.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,32.15277777777777,Low
2026/06/16 8:34:48 PM GMT+5:45,Yes,19-21,Male,Bagmati,+2 Passed,Science,2.81 - 3.2,Studying Bachelor's,11-20 hrs,Data Analyst / Data Science,Personal Interest,"Paid online courses (Udemy, Coursera, etc.)",5.0,5.0,5.0,5.0,Lack of guidance or mentorship;Lack of opportunities in Nepal;Lack of networking,Frequently,Engineering,Nepal,No,Lack of practical education;Weak education system / outdated curriculum;Limited internship and job opportunities;Poor awareness of career options,Explore career options before choosing a stream;Don't rely only on grades — build real skills;Network with people in your field of interest;Take care of your mental health,20.0,3.0,15.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,78.19444444444443,High
2026/06/17 7:37:46 AM GMT+5:45,Yes,16-18,Female,Bagmati,+2 Passed,Management,3.21 - 3.6,Preparing for Bachelor's;Working / Freelancing,6-10 hrs,Data Analyst / Data Science;Digital Marketing / SEO,To get a job,"Paid online courses (Udemy, Coursera, etc.)",3.0,4.0,4.0,5.0,Financial problems;Lack of guidance or mentorship;Lack of opportunities in Nepal,Sometimes,Study Abroad,No Idea ,Maybe,Weak education system / outdated curriculum,"Start learning skills early, don't wait",17.0,3.4,8.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,62.01388888888889,Medium
2026/06/17 8:00:11 AM GMT+5:45,Yes,16-18,Female,Bagmati,+2 Passed,Management,3.21 - 3.6,Preparing for Bachelor's;Working / Freelancing,6-10 hrs,Data Analyst / Data Science,To get a job,"Paid online courses (Udemy, Coursera, etc.)",3.0,4.0,4.0,5.0,Financial problems;Lack of guidance or mentorship;Lack of opportunities in Nepal,Sometimes,Banking / Finance,No Idea ,Maybe,Weak education system / outdated curriculum,"Start learning skills early, don't wait",17.0,3.4,8.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,60.90277777777777,Medium
2026/06/17 10:55:48 AM GMT+5:45,Yes,16-18,Female,Bagmati,+2 Passed,Science,Above 3.6,Gap Year,0 - 2 hrs,None yet,,Mentor or teacher,1.0,1.0,2.0,2.0,Financial problems;Lack of motivation;Lack of networking,Always,IT / Technology,idk,Maybe,Lack of practical education,Focus on English communication;Be consistent and patient,17.0,3.8,1.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,7.500000000000001,Low
2026/06/17 12:22:51 PM GMT+5:45,Yes,19-21,Male,Koshi,Awaiting +2 Results,Science,Not Yet Graded,Waiting for results,0 - 2 hrs,Abcd,University requirements,YouTube / free online videos,4.0,4.0,4.0,4.0,Abcd.,Always,Banking / Finance,In mars,Maybe,Lack of practical education;Weak education system / outdated curriculum;Limited internship and job opportunities;Poor awareness of career options;Poor internet and tech access in rural areas;Political instability affecting opportunities,"Start learning skills early, don't wait;Build a portfolio or personal projects;Focus on English communication;Explore career options before choosing a stream;Network with people in your field of interest",20.0,,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,48.75000000000001,Medium
2026/06/17 6:33:36 PM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Education,Above 3.6,Studying Bachelor's,6-10 hrs,Graphic Design;Public Speaking / Communication,To get a job;Freelancing;Business / Startups;Personal Interest,YouTube / free online videos;College or school;Self-study from books/articles;Mentor or teacher,4.0,5.0,4.0,4.0,Lack of guidance or mentorship;Lack of networking,Sometimes,Teaching / Education,Primary Level Teacher ,Yes,Lack of practical education;Poor internet and tech access in rural areas;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Network with people in your field of interest;Be consistent and patient",20.0,3.8,8.0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,65.7638888888889,Medium
2026/06/17 6:49:36 PM GMT+5:45,Yes,16-18,Female,Bagmati,Awaiting +2 Results,Science,Not Yet Graded,Preparing for Bachelor's,,None yet,,,3.0,4.0,3.0,3.0,Financial problems;Lack of guidance or mentorship;Lack of opportunities in Nepal,Sometimes,Medical / Health,,Yes,Weak education system / outdated curriculum;Financial barriers;Family and social pressure;Mental health and stress;Brain drain (talented people leaving Nepal),Don't rely only on grades — build real skills;Take care of your mental health;Be consistent and patient,17.0,,4.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,44.79166666666667,Medium
2026/06/17 7:27:51 PM GMT+5:45,Yes,16-18,Male,Bagmati,Awaiting +2 Results,Humanities,Above 3.6,Preparing to study abroad,6-10 hrs,Video Editing / Content Creation;Business / Entrepreneurship,To get a job;Personal Interest,YouTube / free online videos;Institute or training center,4.0,4.0,4.0,3.0,Financial problems;Lack of networking,Sometimes,Business / Entrepreneurship,Doing Business,Maybe,Lack of practical education;Poor awareness of career options;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Be consistent and patient",17.0,3.8,8.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,57.013888888888886,Medium
2026/06/17 8:13:28 PM GMT+5:45,Yes,16-18,Female,Gandaki,Awaiting +2 Results,Management,3.21 - 3.6,Waiting for results,0 - 2 hrs,Public Speaking / Communication,Personal Interest,YouTube / free online videos;Self-study from books/articles,2.0,3.0,2.0,3.0,Lack of networking,Sometimes,Medical / Health,IDK,Maybe,Lack of practical education,"Start learning skills early, don't wait;Be consistent and patient",17.0,3.4,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,32.777777777777786,Low
2026/06/17 8:39:12 PM GMT+5:45,Yes,19-21,Male,Madesh,Awaiting +2 Results,Management,3.21 - 3.6,Waiting for results;Preparing to study abroad,0 - 2 hrs,Barista ,To get a job;Personal Interest,Institute or training center,1.0,1.0,1.0,1.0,Financial problems;Poor quality of education;Mental stress or anxiety,Always,Study Abroad,As a hotel manager ,No,Financial barriers;Lack of mentorship and guidance;Poor awareness of career options,Focus on English communication;Explore career options before choosing a stream,20.0,3.4,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.0,Low
2026/06/17 9:47:59 PM GMT+5:45,Yes,16-18,Male,Karnali,+2 Passed,Science,3.21 - 3.6,Waiting for results,0 - 2 hrs,Video Editing / Content Creation,Personal Interest,YouTube / free online videos,4.0,4.0,4.0,5.0,Lack of guidance or mentorship;Lack of opportunities in Nepal;Time management issues,Sometimes,Medical / Health,,Maybe,Lack of practical education;Limited internship and job opportunities;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Use free online resources (YouTube, Coursera, etc.);Take care of your mental health",17.0,3.4,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,61.52777777777778,Medium
2026/06/18 11:12:32 AM GMT+5:45,Yes,Above 25,Male,Bagmati,Bachelor,Management,2.81 - 3.2,Working / Freelancing,6-10 hrs,Programming / Coding;Data Analyst / Data Science;AI / Machine Learning,To get a job;Freelancing;Business / Startups;Personal Interest,"YouTube / free online videos;Paid online courses (Udemy, Coursera, etc.);Institute or training center",5.0,5.0,5.0,5.0,Financial problems;Lack of opportunities in Nepal;Time management issues,Sometimes,IT / Technology,To be a best enterpurner,Yes,Lack of practical education;Financial barriers;Lack of mentorship and guidance;Limited internship and job opportunities;Poor awareness of career options;Poor internet and tech access in rural areas;Political instability affecting opportunities;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Build a portfolio or personal projects;Focus on English communication;Find a mentor or role model;Use free online resources (YouTube, Coursera, etc.);Network with people in your field of interest",27.0,3.0,8.0,1.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,3,79.37499999999999,High
2026/06/18 7:28:36 PM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Management,2.4 - 2.8,Preparing to study abroad,3-5 hrs,None yet,Personal Interest,YouTube / free online videos,2.0,2.0,2.0,2.0,Financial problems;Lack of guidance or mentorship;Lack of motivation,Sometimes,Teaching / Education,Teaching ,Yes,Limited internship and job opportunities,"Start learning skills early, don't wait",20.0,2.6,4.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,24.791666666666664,Low
2026/06/18 9:23:15 PM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Management,2.4 - 2.8,Gap Year,0 - 2 hrs,,,YouTube / free online videos,1.0,1.0,1.0,1.0,Financial problems,Sometimes,,Bidesh ma ,No,,,20.0,2.6,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.666666666666668,Low
2026/06/18 9:46:48 PM GMT+5:45,Yes,22-25,Male,Bagmati,+2 Passed,Management,2.81 - 3.2,Learning professional skills,3-5 hrs,Business / Entrepreneurship,Business / Startups,YouTube / free online videos,3.0,3.0,4.0,3.0,Time management issues,Sometimes,Business / Entrepreneurship,Staring new business ,Maybe,Limited internship and job opportunities,Build a portfolio or personal projects,23.5,3.0,4.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,44.65277777777777,Medium
2026/06/19 7:09:33 AM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Science,2.81 - 3.2,Studying Bachelor's,3-5 hrs,Public Speaking / Communication,To get a job,College or school,5.0,5.0,5.0,5.0,Financial problems;Family pressure;Skills development ,Never,Sociology ,2,Yes,Lack of practical education;Financial barriers;Family and social pressure,Network with people in your field of interest;Be consistent and patient,20.0,3.0,4.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,77.9861111111111,High
2026/06/20 9:27:47 AM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Science,3.21 - 3.6,Preparing for Bachelor's,3-5 hrs,Programming / Coding;Public Speaking / Communication,To get a job;Freelancing,YouTube / free online videos;Institute or training center,5.0,5.0,4.0,4.0,Lack of guidance or mentorship;Poor quality of education;Lack of networking,Sometimes,IT / Technology,Doing Bachelorls ,Maybe,Lack of practical education;Political instability affecting opportunities,"Start learning skills early, don't wait;Find a mentor or role model;Be consistent and patient",20.0,3.4,4.0,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,68.26388888888889,Medium
2026/06/22 7:55:01 PM GMT+5:45,Yes,19-21,Female,Bagmati,+2 Passed,Management,Above 3.6,Preparing for Bachelor's,0 - 2 hrs,Programming / Coding,To get a job,YouTube / free online videos,1.0,2.0,1.0,1.0,Financial problems;Lack of guidance or mentorship;,Sometimes,IT / Technology,,No,Lack of practical education;Weak education system / outdated curriculum;Financial barriers,"Use free online resources (YouTube, Coursera, etc.);Don't rely only on grades — build real skills",20.0,3.8,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,11.527777777777779,Low
2026/06/23 10:30:29 AM GMT+5:45,Yes,16-18,Female,Koshi,+2 Passed,Science,2.81 - 3.2,Preparing for Bachelor's,0 - 2 hrs,Data Analyst / Data Science;AI / Machine Learning;Public Speaking / Communication,Personal Interest,YouTube / free online videos,3.0,4.0,4.0,4.0,Financial problems;Lack of guidance or mentorship;Lack of motivation,Frequently,Medical / Health,Doing internship,Yes,Lack of practical education;Financial barriers;Poor internet and tech access in rural areas;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Focus on English communication;Use free online resources (YouTube, Coursera, etc.);Network with people in your field of interest;Take care of your mental health;Be consistent and patient",17.0,3.0,1.0,2.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,50.416666666666664,Medium
2026/06/23 9:05:38 PM GMT+5:45,Yes,Under 16,Male,Madesh,SEE Passed,Just SEE Passed,Above 3.6,Gap Year,6-10 hrs,Public Speaking / Communication;Business / Entrepreneurship,Business / Startups,YouTube / free online videos;Institute or training center;College or school,4.0,4.0,4.0,4.0,Lack of networking,Sometimes,Business / Entrepreneurship,Doing bachelors ,Maybe,Political instability affecting opportunities;Brain drain (talented people leaving Nepal),"Start learning skills early, don't wait;Don't rely only on grades — build real skills;Be consistent and patient",15.0,3.8,8.0,1.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,62.01388888888889,Medium
2026/06/25 12:32:17 PM GMT+5:45,Yes,16-18,Female,Bagmati,+2 Passed,Management,3.21 - 3.6,Learning professional skills,6-10 hrs,UI/UX Design;Business / Entrepreneurship,To get a job;Freelancing,"YouTube / free online videos;Paid online courses (Udemy, Coursera, etc.)",4.0,3.0,4.0,4.0,Financial problems;Lack of networking,Sometimes,IT / Technology,Idk,Maybe,Lack of practical education;Poor internet and tech access in rural areas,"Start learning skills early, don't wait;Don't rely only on grades — build real skills;Be consistent and patient",17.0,3.4,8.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,58.26388888888889,Medium
